Node	Cluster	Color	Origin
NRAP	11	#FFCCCCFF	RWR Added
DUSP27	11	#FFCCCCFF	RWR Added
TRIM54	11	#FFCCCCFF	RWR Added
HHATL	11	#FFCCCCFF	RWR Added
SGCG	11	#FFCCCCFF	RWR Added
HJV	11	#FFCCCCFF	RWR Added
FBXO40	11	#FFCCCCFF	RWR Added
TRDN	9	#FF00CCFF	RWR Added
MYL3	9	#FF00CCFF	RWR Added
CKM	9	#FF00CCFF	RWR Added
LMOD2	9	#FF00CCFF	RWR Added
MYL2	9	#FF00CCFF	RWR Added
CAV3	9	#FF00CCFF	RWR Added
TCAP	9	#FF00CCFF	RWR Added
MYOZ2	9	#FF00CCFF	RWR Added
MYLK3	9	#FF00CCFF	RWR Added
ALPK3	10	#CC0000FF	RWR Added
SYPL2	10	#CC0000FF	RWR Added
HSPB6	10	#CC0000FF	RWR Added
FLNC	10	#CC0000FF	RWR Added
CRYAB	10	#CC0000FF	RWR Added
FABP3	10	#CC0000FF	RWR Added
HSPB7	10	#CC0000FF	RWR Added
DES	10	#CC0000FF	RWR Added
LDB3	10	#CC0000FF	RWR Added
MYOM1	4	#00FF00FF	RWR Added
ASB15	4	#00FF00FF	RWR Added
POPDC3	4	#00FF00FF	RWR Added
CMYA5	4	#00FF00FF	RWR Added
RBFOX1	4	#00FF00FF	RWR Added
CAVIN4	4	#00FF00FF	RWR Added
KLHL41	4	#00FF00FF	Disease Gene
LMOD3	4	#00FF00FF	Disease Gene
SLC25A4	4	#00FF00FF	RWR Added
ENO3	4	#00FF00FF	RWR Added
PYGM	4	#00FF00FF	RWR Added
ATP1A2	4	#00FF00FF	RWR Added
SNTA1	4	#00FF00FF	RWR Added
OBSCN	4	#00FF00FF	RWR Added
CADPS	4	#00FF00FF	RWR Added
TPM3	6	#CC33FFFF	Disease Gene
COL6A3	6	#CC33FFFF	RWR Added
KBTBD13	6	#CC33FFFF	Disease Gene
MUSK	6	#CC33FFFF	RWR Added
RAPSN	6	#CC33FFFF	RWR Added
RYR1	6	#CC33FFFF	Disease Gene
ACTA1	6	#CC33FFFF	Disease Gene
NEB	6	#CC33FFFF	Disease Gene
CHRNB1	6	#CC33FFFF	RWR Added
SCN4A	6	#CC33FFFF	Disease Gene
CHRNA1	6	#CC33FFFF	RWR Added
CHRND	6	#CC33FFFF	RWR Added
AMPD1	5	#6699FFFF	RWR Added
MYH3	5	#6699FFFF	RWR Added
STATH	5	#6699FFFF	RWR Added
DUSP13	5	#6699FFFF	RWR Added
TRIM63	5	#6699FFFF	RWR Added
TRIM55	5	#6699FFFF	RWR Added
VGLL2	5	#6699FFFF	RWR Added
MYOG	5	#6699FFFF	RWR Added
MYF5	5	#6699FFFF	RWR Added
MYO18B	5	#6699FFFF	Disease Gene
FBP2	5	#6699FFFF	RWR Added
TNNT1	5	#6699FFFF	Disease Gene
DUSP26	5	#6699FFFF	RWR Added
CKMT2	5	#6699FFFF	RWR Added
UNC45B	5	#6699FFFF	RWR Added
PPP1R3A	5	#6699FFFF	RWR Added
HRC	5	#6699FFFF	RWR Added
