Node	Cluster	Color	Origin
OSTF1	9	#FF00CCFF	RWR Added
SPTLC2	9	#FF00CCFF	Disease Gene
ATL3	9	#FF00CCFF	Disease Gene
RAN	13	#CCFF00FF	RWR Added
CCT5	13	#CCFF00FF	Disease Gene
R3HDM4	13	#CCFF00FF	RWR Added
SLC50A1	13	#CCFF00FF	RWR Added
ENO1	13	#CCFF00FF	RWR Added
YARS1	13	#CCFF00FF	RWR Added
GARS1	13	#CCFF00FF	Disease Gene
SORD	13	#CCFF00FF	Disease Gene
HINT1	13	#CCFF00FF	Disease Gene
GPI	13	#CCFF00FF	RWR Added
GOT1	13	#CCFF00FF	RWR Added
SARS1	13	#CCFF00FF	Disease Gene
AARS1	13	#CCFF00FF	RWR Added
SDHA	13	#CCFF00FF	RWR Added
GOT2	13	#CCFF00FF	RWR Added
PARP1	13	#CCFF00FF	RWR Added
CIAPIN1	13	#CCFF00FF	RWR Added
PPP1CA	13	#CCFF00FF	RWR Added
AIFM1	13	#CCFF00FF	Disease Gene
HSCB	5	#6699FFFF	RWR Added
SURF1	5	#6699FFFF	Disease Gene
MPV17	5	#6699FFFF	Disease Gene
NIT1	5	#6699FFFF	RWR Added
OCIAD1	5	#6699FFFF	RWR Added
AIMP1	5	#6699FFFF	RWR Added
PARN	5	#6699FFFF	RWR Added
EIF2B2	5	#6699FFFF	RWR Added
PINX1	5	#6699FFFF	RWR Added
CWC15	5	#6699FFFF	RWR Added
C19orf12	5	#6699FFFF	RWR Added
SUMO1	5	#6699FFFF	RWR Added
SUMO2	5	#6699FFFF	RWR Added
ELAVL1	5	#6699FFFF	RWR Added
YWHAG	5	#6699FFFF	RWR Added
CANX	5	#6699FFFF	RWR Added
YWHAZ	5	#6699FFFF	RWR Added
HNRNPU	5	#6699FFFF	RWR Added
DHX9	5	#6699FFFF	Disease Gene
STRAP	5	#6699FFFF	RWR Added
SMN1	5	#6699FFFF	RWR Added
TECR	5	#6699FFFF	RWR Added
SLC25A22	5	#6699FFFF	RWR Added
PDK1	5	#6699FFFF	RWR Added
SCO2	5	#6699FFFF	Disease Gene
VRK1	5	#6699FFFF	Disease Gene
FXN	5	#6699FFFF	RWR Added
POLR3B	5	#6699FFFF	Disease Gene
SUCLA2	5	#6699FFFF	RWR Added
AFG3L2	5	#6699FFFF	RWR Added
IARS2	5	#6699FFFF	RWR Added
DARS2	5	#6699FFFF	RWR Added
KLC2	7	#99991EFF	RWR Added
NDRG1	7	#99991EFF	Disease Gene
PRPS1	7	#99991EFF	Disease Gene
RNF4	7	#99991EFF	RWR Added
YWHAQ	7	#99991EFF	RWR Added
KRAS	7	#99991EFF	RWR Added
RANBP6	7	#99991EFF	RWR Added
USP9X	7	#99991EFF	RWR Added
HNRNPF	7	#99991EFF	RWR Added
MYCBP2	7	#99991EFF	RWR Added
ERBIN	7	#99991EFF	RWR Added
TJP1	7	#99991EFF	RWR Added
SLC9A3R1	7	#99991EFF	Disease Gene
MYH10	7	#99991EFF	RWR Added
ACLY	7	#99991EFF	RWR Added
ESR2	7	#99991EFF	RWR Added
SEPT9	7	#99991EFF	Disease Gene
ALDH18A1	7	#99991EFF	RWR Added
ELP1	7	#99991EFF	Disease Gene
RFC1	7	#99991EFF	Disease Gene
HOXD10	7	#99991EFF	Disease Gene
DNMT1	7	#99991EFF	Disease Gene
TRIM24	7	#99991EFF	RWR Added
SMARCD1	7	#99991EFF	RWR Added
CYP2C19	16	#99CCFFFF	RWR Added
CYP26C1	16	#99CCFFFF	RWR Added
KHDC3L	16	#99CCFFFF	RWR Added
LMNA	8	#999999FF	Disease Gene
ZDHHC9	8	#999999FF	RWR Added
HERC2	8	#999999FF	RWR Added
FIG4	8	#999999FF	Disease Gene
FOXC2	8	#999999FF	RWR Added
MAP3K1	8	#999999FF	RWR Added
FLNB	8	#999999FF	RWR Added
TBX15	8	#999999FF	RWR Added
GATA6	8	#999999FF	RWR Added
JAG1	8	#999999FF	Disease Gene
EGFR	8	#999999FF	RWR Added
NEK6	8	#999999FF	RWR Added
EZR	8	#999999FF	RWR Added
ICK	8	#999999FF	RWR Added
YAP1	8	#999999FF	RWR Added
PSAT1	8	#999999FF	Disease Gene
MYLK	8	#999999FF	RWR Added
FBLN5	8	#999999FF	Disease Gene
TUSC3	8	#999999FF	RWR Added
ERBB2	8	#999999FF	RWR Added
SH3BP4	8	#999999FF	RWR Added
DRAXIN	8	#999999FF	RWR Added
FGF5	8	#999999FF	RWR Added
SLC2A1	8	#999999FF	RWR Added
ITPR3	8	#999999FF	Disease Gene
GULP1	8	#999999FF	RWR Added
UTRN	8	#999999FF	RWR Added
DAG1	8	#999999FF	RWR Added
NGF	8	#999999FF	Disease Gene
PIM3	1	#FF0000FF	RWR Added
DNAJB6	1	#FF0000FF	RWR Added
HSPA5	1	#FF0000FF	RWR Added
