V1	V2	coexSPL.tsv	coexMSG.tsv	ppi.tsv	HP.tsv	coexKDN.tsv
FHL1	DYSF	0	0	0	1	0
FHL1	DAG1	1	0	0	0	0
FHL1	TTN	0	1	1	1	0
FHL1	NEB	0	1	0	1	0
FHL1	ACTA1	0	1	0	1	0
FHL1	SELENON	0	0	0	1	0
FHL1	TPM3	0	1	0	1	0
FHL1	BIN1	0	1	0	1	0
FHL1	CHKB	0	0	0	1	0
FHL1	DPM3	0	0	0	1	0
FHL1	FHL1	0	0	1	0	0
LARGE1	LAMB1	0	0	0	1	0
LARGE1	POMGNT2	0	1	0	1	0
LARGE1	COL6A1	0	1	0	0	0
LARGE1	DPM2	0	0	0	1	0
LARGE1	ADAT3	0	0	0	1	0
LARGE1	TRAPPC11	0	0	0	1	0
LARGE1	DAG1	0	0	0	1	0
LARGE1	RXYLT1	0	0	0	1	0
LARGE1	B4GAT1	0	1	1	1	0
LARGE1	FKRP	0	0	0	1	0
LARGE1	POMT1	0	0	0	1	0
LARGE1	CHKB	0	0	0	1	0
LARGE1	GMPPB	0	0	0	1	0
LARGE1	POMT2	0	0	0	1	0
LARGE1	POMGNT1	0	1	0	1	0
LARGE1	POMK	0	0	0	1	0
TIA1	ESR2	0	0	1	0	0
TIA1	GOSR2	0	0	0	1	0
TIA1	SGCA	0	0	0	1	0
TIA1	COL6A3	0	0	0	1	0
TIA1	COL6A1	0	0	0	1	0
TIA1	TCAP	0	0	0	1	0
TIA1	ITGA7	0	0	0	1	0
TIA1	DYSF	0	0	0	1	0
TIA1	TTN	0	0	0	1	0
TIA1	NEB	0	0	0	1	0
TIA1	ACTA1	0	0	0	1	0
TIA1	CHKB	0	1	0	1	0
TIA1	DPM3	0	0	0	1	0
TIA1	POMGNT1	0	1	0	0	0
TIA1	FHL1	0	0	0	1	0
FKTN	ESR2	0	0	1	0	0
FKTN	LAMA2	0	0	0	1	0
FKTN	LAMB1	0	0	0	1	0
FKTN	POMGNT2	0	0	0	1	0
FKTN	SGCA	0	0	0	1	0
FKTN	DPM2	0	0	0	1	0
FKTN	ADAT3	0	0	0	1	0
FKTN	TRAPPC11	0	0	0	1	0
FKTN	DAG1	0	0	0	1	0
FKTN	RXYLT1	0	0	1	1	0
FKTN	B4GAT1	0	0	1	1	0
FKTN	FKRP	0	1	0	1	0
FKTN	TTN	0	0	0	1	0
FKTN	ACTA1	0	0	0	1	0
FKTN	SELENON	0	0	0	1	0
FKTN	TPM3	0	0	0	1	0
FKTN	POMT1	0	0	0	1	0
FKTN	CHKB	0	0	0	1	0
FKTN	GMPPB	0	0	0	1	0
FKTN	POMT2	0	0	0	1	0
FKTN	POMGNT1	0	0	0	1	0
FKTN	POMK	0	0	0	1	0
FKTN	LARGE1	0	0	0	1	0
COL6A2	LAMA2	0	0	0	1	0
COL6A2	SGCA	0	0	0	1	0
COL6A2	COL6A3	0	0	0	1	0
COL6A2	COL6A1	0	0	1	1	0
COL6A2	ITGA7	0	1	0	1	0
COL6A2	DYSF	0	1	0	0	0
COL6A2	TTN	0	0	0	1	0
COL6A2	NEB	0	0	0	1	0
COL6A2	ACTA1	0	0	0	1	0
COL6A2	SELENON	1	0	0	1	0
COL6A2	TPM3	0	0	0	1	0
COL6A2	BIN1	0	0	0	1	0
COL6A2	CHKB	0	0	0	1	0
