Node	Cluster	Color	Origin
MYSM1	6	#CC33FFFF	Disease Gene
TERF2	6	#CC33FFFF	RWR Added
HNRNPL	6	#CC33FFFF	RWR Added
KLHL42	6	#CC33FFFF	RWR Added
ZBTB24	6	#CC33FFFF	Disease Gene
SMARCAL1	6	#CC33FFFF	Disease Gene
PFAS	6	#CC33FFFF	RWR Added
CAD	6	#CC33FFFF	RWR Added
ZNF783	6	#CC33FFFF	RWR Added
USP49	6	#CC33FFFF	RWR Added
TRIM52	6	#CC33FFFF	RWR Added
E2F5	6	#CC33FFFF	RWR Added
HDGFL2	6	#CC33FFFF	RWR Added
PTCRA	6	#CC33FFFF	Disease Gene
BICRAL	6	#CC33FFFF	RWR Added
CLASP1	6	#CC33FFFF	RWR Added
GGA2	6	#CC33FFFF	RWR Added
SKIV2L	6	#CC33FFFF	Disease Gene
UBE4B	6	#CC33FFFF	RWR Added
TTC37	6	#CC33FFFF	Disease Gene
CPNE3	6	#CC33FFFF	RWR Added
SGPL1	6	#CC33FFFF	Disease Gene
GNAI3	6	#CC33FFFF	RWR Added
MCMBP	6	#CC33FFFF	RWR Added
ACBD3	6	#CC33FFFF	RWR Added
OTUD4	6	#CC33FFFF	RWR Added
OSBPL8	6	#CC33FFFF	RWR Added
PGM3	6	#CC33FFFF	Disease Gene
TARSL2	5	#6699FFFF	RWR Added
TEX2	5	#6699FFFF	RWR Added
ATP7A	5	#6699FFFF	RWR Added
CEP68	5	#6699FFFF	RWR Added
NR3C1	5	#6699FFFF	RWR Added
EPG5	5	#6699FFFF	Disease Gene
RAD50	5	#6699FFFF	Disease Gene
ERCC6L2	5	#6699FFFF	Disease Gene
RNF168	5	#6699FFFF	Disease Gene
ATM	5	#6699FFFF	Disease Gene
SMC1A	5	#6699FFFF	RWR Added
POLA1	5	#6699FFFF	Disease Gene
AFF1	5	#6699FFFF	RWR Added
KHNYN	5	#6699FFFF	RWR Added
OFD1	5	#6699FFFF	RWR Added
PHF21A	5	#6699FFFF	RWR Added
PRPF8	5	#6699FFFF	RWR Added
TRIM25	5	#6699FFFF	RWR Added
PHACTR4	5	#6699FFFF	RWR Added
DICER1	5	#6699FFFF	RWR Added
ATF7IP	5	#6699FFFF	RWR Added
PCF11	5	#6699FFFF	RWR Added
LRCH3	5	#6699FFFF	RWR Added
CNOT1	5	#6699FFFF	RWR Added
NSD1	5	#6699FFFF	RWR Added
SETD5	5	#6699FFFF	RWR Added
MED13L	5	#6699FFFF	RWR Added
MCM7	2	#FF9900FF	RWR Added
ERBIN	2	#FF9900FF	Disease Gene
RHOU	2	#FF9900FF	RWR Added
BRCA1	2	#FF9900FF	RWR Added
PREX1	2	#FF9900FF	RWR Added
CHD7	2	#FF9900FF	Disease Gene
CROCC	2	#FF9900FF	RWR Added
LIG1	2	#FF9900FF	Disease Gene
ZNF341	2	#FF9900FF	Disease Gene
