Node	Cluster	Color	Origin
SLC5A7	3	#5F05D1	Disease Gene
SYT2	3	#5F05D1	Disease Gene
TNNC1	3	#5F05D1	Disease Gene
TRDN	3	#5F05D1	Disease Gene
TRIM54	3	#5F05D1	Disease Gene
TRIM55	3	#5F05D1	RWR Added
TRIM63	3	#5F05D1	Disease Gene
UNC45B	3	#5F05D1	Disease Gene
AARS	2	#D10546	Disease Gene
ABHD12	2	#D10546	RWR Added
ADCY6	2	#D10546	Disease Gene
AGRN	2	#D10546	Disease Gene
ALDH18A1	2	#D10546	Disease Gene
ALDH3A2	2	#D10546	Disease Gene
ANO5	2	#D10546	Disease Gene
APTX	2	#D10546	Disease Gene
ARL6IP1	2	#D10546	Disease Gene
ASCC1	2	#D10546	Disease Gene
ATL1	2	#D10546	Disease Gene
ATP1A2	2	#D10546	Disease Gene
ATP2A2	2	#D10546	RWR Added
ATXN2	2	#D10546	Disease Gene
B4GALNT1	2	#D10546	Disease Gene
BICD2	2	#D10546	Disease Gene
BSCL2	2	#D10546	Disease Gene
C19orf12	2	#D10546	Disease Gene
CACNA1A	2	#D10546	Disease Gene
CALM1	2	#D10546	Disease Gene
CAMK2A	2	#D10546	RWR Added
CAP2	2	#D10546	Disease Gene
CCT2	2	#D10546	RWR Added
CHAT	2	#D10546	Disease Gene
CHCHD10	2	#D10546	Disease Gene
CHMP2B	2	#D10546	Disease Gene
CHP1	2	#D10546	Disease Gene
CHRNA1	2	#D10546	Disease Gene
CHRNB1	2	#D10546	Disease Gene
CHRND	2	#D10546	Disease Gene
CKM	2	#D10546	RWR Added
CKMT2	2	#D10546	RWR Added
CLCN1	2	#D10546	Disease Gene
CMYA5	2	#D10546	RWR Added
CNTNAP1	2	#D10546	Disease Gene
COL6A2	2	#D10546	Disease Gene
COQ7	2	#D10546	Disease Gene
COX6A2	2	#D10546	Disease Gene
CRPPA	2	#D10546	Disease Gene
DARS2	2	#D10546	RWR Added
DDHD1	2	#D10546	Disease Gene
DNAJB2	2	#D10546	Disease Gene
DOK7	2	#D10546	Disease Gene
DPM3	2	#D10546	Disease Gene
DTNA	2	#D10546	Disease Gene
DYNC1H1	2	#D10546	Disease Gene
ECEL1	2	#D10546	Disease Gene
EEF1A2	2	#D10546	RWR Added
ELOVL5	2	#D10546	Disease Gene
ELP1	2	#D10546	Disease Gene
ESR2	2	#D10546	RWR Added
FA2H	2	#D10546	Disease Gene
FBXO38	2	#D10546	Disease Gene
FIG4	2	#D10546	Disease Gene
FKTN	2	#D10546	Disease Gene
FXN	2	#D10546	Disease Gene
GAA	2	#D10546	Disease Gene
GARS1	2	#D10546	Disease Gene
GBF1	2	#D10546	Disease Gene
GJB1	2	#D10546	Disease Gene
GJC2	2	#D10546	Disease Gene
HACD1	2	#D10546	Disease Gene
HACE1	2	#D10546	Disease Gene
HINT1	2	#D10546	Disease Gene
HNRNPA1	2	#D10546	Disease Gene
HNRNPL	2	#D10546	RWR Added
HSPB1	2	#D10546	Disease Gene
HSPB7	2	#D10546	RWR Added
HSPD1	2	#D10546	Disease Gene
HSPG2	2	#D10546	Disease Gene
IGHMBP2	2	#D10546	Disease Gene
ITGA7	2	#D10546	Disease Gene
KCND3	2	#D10546	Disease Gene
KCNE3	2	#D10546	Disease Gene
KIF1A	2	#D10546	Disease Gene
KIF1C	2	#D10546	Disease Gene
KLC2	2	#D10546	Disease Gene
LMOD2	2	#D10546	Disease Gene
LMOD3	2	#D10546	Disease Gene
LRP12	2	#D10546	Disease Gene
MARS1	2	#D10546	Disease Gene
MATR3	2	#D10546	Disease Gene
MCM3AP	2	#D10546	Disease Gene
MEGF10	2	#D10546	Disease Gene
MME	2	#D10546	Disease Gene
MYBPC3	2	#D10546	Disease Gene
MYH14	2	#D10546	Disease Gene
MYH3	2	#D10546	Disease Gene
MYL2	2	#D10546	Disease Gene
MYL3	2	#D10546	Disease Gene
MYLK2	2	#D10546	Disease Gene
