Node	Cluster	Color	Origin
RAG2	5	#6699FFFF	Disease Gene
NFKB1	5	#6699FFFF	RWR Added
CD40	5	#6699FFFF	Disease Gene
CASP8	5	#6699FFFF	RWR Added
CASP10	5	#6699FFFF	RWR Added
TRAC	5	#6699FFFF	Disease Gene
WIPF1	5	#6699FFFF	RWR Added
PRKCD	5	#6699FFFF	RWR Added
AK2	5	#6699FFFF	Disease Gene
ADA	5	#6699FFFF	Disease Gene
DCLRE1C	5	#6699FFFF	Disease Gene
JAK1	4	#00FF00FF	RWR Added
CRYBG1	4	#00FF00FF	RWR Added
FLI1	4	#00FF00FF	RWR Added
CCDC88C	4	#00FF00FF	RWR Added
FYN	4	#00FF00FF	RWR Added
IKZF2	4	#00FF00FF	Disease Gene
ITPKB	4	#00FF00FF	Disease Gene
MEOX2	4	#00FF00FF	RWR Added
CD9	4	#00FF00FF	RWR Added
SPOCK2	4	#00FF00FF	RWR Added
CYFIP2	4	#00FF00FF	RWR Added
LMNA	4	#00FF00FF	RWR Added
FHL3	4	#00FF00FF	RWR Added
NFATC1	4	#00FF00FF	Disease Gene
RORC	4	#00FF00FF	RWR Added
PAX1	4	#00FF00FF	Disease Gene
RASSF1	4	#00FF00FF	RWR Added
TFRC	4	#00FF00FF	Disease Gene
PSMB8	3	#FFCC00FF	RWR Added
PSMB10	3	#FFCC00FF	Disease Gene
P2RX4	3	#FFCC00FF	RWR Added
RNF166	3	#FFCC00FF	RWR Added
EVL	3	#FFCC00FF	RWR Added
RIN3	3	#FFCC00FF	RWR Added
DGKA	3	#FFCC00FF	RWR Added
RELA	3	#FFCC00FF	Disease Gene
KLF16	3	#FFCC00FF	RWR Added
RHOG	3	#FFCC00FF	RWR Added
SHC1	3	#FFCC00FF	RWR Added
MAD2L2	3	#FFCC00FF	RWR Added
SLC25A37	3	#FFCC00FF	RWR Added
SERINC5	3	#FFCC00FF	RWR Added
MOV10	3	#FFCC00FF	RWR Added
PML	3	#FFCC00FF	RWR Added
EML4	7	#99991EFF	RWR Added
REL	7	#99991EFF	Disease Gene
ARAP2	7	#99991EFF	RWR Added
CYTH1	7	#99991EFF	RWR Added
NFATC2	7	#99991EFF	RWR Added
SEPTIN6	7	#99991EFF	RWR Added
BTN2A2	7	#99991EFF	RWR Added
SP110	7	#99991EFF	RWR Added
SP140L	7	#99991EFF	RWR Added
RASSF5	7	#99991EFF	RWR Added
TRIM22	7	#99991EFF	RWR Added
SEMA4D	7	#99991EFF	RWR Added
PARP8	7	#99991EFF	RWR Added
STK4	7	#99991EFF	Disease Gene
TAP1	2	#FF9900FF	Disease Gene
TAP2	2	#FF9900FF	Disease Gene
TAPBP	2	#FF9900FF	Disease Gene
HLA-A	2	#FF9900FF	RWR Added
B2M	2	#FF9900FF	Disease Gene
HLA-E	2	#FF9900FF	RWR Added
MCUB	2	#FF9900FF	RWR Added
MSN	2	#FF9900FF	Disease Gene
PTPN2	2	#FF9900FF	RWR Added
LYN	2	#FF9900FF	RWR Added
IFNGR2	2	#FF9900FF	RWR Added
CTSC	2	#FF9900FF	RWR Added
IL15RA	2	#FF9900FF	RWR Added
FES	2	#FF9900FF	RWR Added
NFKB2	2	#FF9900FF	RWR Added
NFKBIE	2	#FF9900FF	RWR Added
RELB	2	#FF9900FF	Disease Gene
RASA3	2	#FF9900FF	RWR Added
MAP3K14	2	#FF9900FF	Disease Gene
SERPINB9	2	#FF9900FF	RWR Added
BTG1	2	#FF9900FF	RWR Added
IRF7	2	#FF9900FF	RWR Added
IFNAR2	2	#FF9900FF	RWR Added
STK10	11	#FFCCCCFF	RWR Added
ARRB2	11	#FFCCCCFF	RWR Added
GMIP	11	#FFCCCCFF	RWR Added
GMFG	11	#FFCCCCFF	RWR Added
CD4	11	#FFCCCCFF	RWR Added
SLC15A3	11	#FFCCCCFF	RWR Added
CMTM7	11	#FFCCCCFF	RWR Added
TYMP	11	#FFCCCCFF	RWR Added
RHBDF2	11	#FFCCCCFF	RWR Added
FXYD5	11	#FFCCCCFF	RWR Added
RPS6KA1	11	#FFCCCCFF	RWR Added
ARHGDIB	11	#FFCCCCFF	RWR Added
CMTM3	11	#FFCCCCFF	RWR Added
