Node	Cluster	Color	Origin
MAVS	6	#CC33FFFF	RWR Added
ZNFX1	6	#CC33FFFF	Disease Gene
SLC31A1	5	#6699FFFF	RWR Added
WARS1	5	#6699FFFF	RWR Added
SLC50A1	5	#6699FFFF	RWR Added
SNX12	5	#6699FFFF	RWR Added
GTF3A	5	#6699FFFF	Disease Gene
TSR1	5	#6699FFFF	RWR Added
VPS16	5	#6699FFFF	RWR Added
TMEM8A	5	#6699FFFF	RWR Added
PLEKHM1	5	#6699FFFF	Disease Gene
EMD	5	#6699FFFF	RWR Added
PSME2	5	#6699FFFF	RWR Added
CIB1	5	#6699FFFF	Disease Gene
FTO	5	#6699FFFF	RWR Added
GNAI3	5	#6699FFFF	RWR Added
SSR1	5	#6699FFFF	RWR Added
NBAS	5	#6699FFFF	Disease Gene
PPP1R2	5	#6699FFFF	RWR Added
OSTM1	5	#6699FFFF	Disease Gene
TMEM114	5	#6699FFFF	RWR Added
GMCL1	5	#6699FFFF	RWR Added
IL17F	5	#6699FFFF	Disease Gene
KARS1	5	#6699FFFF	RWR Added
ELAVL1	5	#6699FFFF	RWR Added
TMEM214	5	#6699FFFF	RWR Added
ATG4A	5	#6699FFFF	Disease Gene
HAT1	5	#6699FFFF	RWR Added
PYM1	5	#6699FFFF	RWR Added
MCTS1	5	#6699FFFF	Disease Gene
CHP1	5	#6699FFFF	RWR Added
ARL6IP1	5	#6699FFFF	RWR Added
ATP6V0E1	5	#6699FFFF	RWR Added
PLEKHB2	5	#6699FFFF	RWR Added
ATP6V1B2	5	#6699FFFF	RWR Added
CD200R1	4	#00FF00FF	RWR Added
OASL	4	#00FF00FF	RWR Added
RSAD2	4	#00FF00FF	RWR Added
SAMD9	4	#00FF00FF	RWR Added
OAS1	4	#00FF00FF	Disease Gene
IFI44	4	#00FF00FF	RWR Added
OAS2	4	#00FF00FF	Disease Gene
CMPK2	4	#00FF00FF	RWR Added
MX2	4	#00FF00FF	RWR Added
DDX60L	4	#00FF00FF	RWR Added
EPSTI1	4	#00FF00FF	RWR Added
TAP1	4	#00FF00FF	RWR Added
B2M	4	#00FF00FF	RWR Added
HLA-E	4	#00FF00FF	RWR Added
SP140L	4	#00FF00FF	RWR Added
TAP2	4	#00FF00FF	RWR Added
NLRC5	4	#00FF00FF	RWR Added
PLAAT4	4	#00FF00FF	RWR Added
LY6E	4	#00FF00FF	RWR Added
UBE2L6	4	#00FF00FF	RWR Added
IFI35	4	#00FF00FF	RWR Added
PSMB10	4	#00FF00FF	RWR Added
BTN3A1	2	#FF9900FF	RWR Added
